,Tri-gram,Freq
0,lean exercise muscle,290
1,fitness stress anxiety,263
2,motivation workout gym,260
3,diet fitness stress,257
4,stress anxiety happiness,257
5,yoga diet fitness,256
6,workout lean exercise,252
7,anxiety happiness nutrition,251
8,funny hot cool,247
9,happiness nutrition funny,244
10,nutrition funny hot,244
11,hot cool smile,241
12,workout gym fit,224
13,fun hot funny,220
14,stress anxiety happy,183
15,healthyfood weightloss diet,180
16,diet motivation workout,179
17,fitness healthyfood weightloss,174
18,weightloss diet motivation,165
19,exercise muscle fit,162
20,anxiety happy smile,158
21,style fun hot,158
22,yoga selfies dental,153
23,asthma stress anxiety,153
24,selfies dental breadth,152
25,breadth asthma stress,152
26,dental breadth asthma,151
27,muscle fit diet,147
28,nutrition fitness healthyfood,144
29,tagfire yoga diet,143
30,nutrition fitness workout,143
31,weightloss nutrition fitness,139
32,fitness workout lean,138
33,fatloss weightloss nutrition,136
34,gym fit fitnessmotivation,135
35,burnfat fatloss weightloss,135
36,fitness training workout,126
37,milk verifresh ujjwalghee,123
38,training workout lean,119
39,indiauk usa japan,118
40,dairy milk verifresh,117
41,tagfire yoga selfies,117
42,keto diet weightloss,112
43,build bebetter bettertogether,110
44,goodreads books motivate,110
45,books motivate inspire,110
46,motivate inspire hope,110
47,inspire hope healthyeats,110
48,hope healthyeats blessed,110
49,healthyeats blessed inspirational,110
50,blessed inspirational motivational,110
51,inspirational motivational wisdom,110
52,motivational wisdom spiritualhealth,110
53,wisdom spiritualhealth fitness,110
54,gratitude nasa space,109
55,nasa space faith,109
56,bebetter bettertogether goodreads,108
57,bettertogether goodreads books,108
58,letfoodbeyourmedicine nutrition diet,107
59,peace gratitude nasa,106
60,exercise muscle strong,106
61,space faith travel,105
62,bbu build bebetter,105
63,fit fitnessmotivation healthyliving,102
64,smile followme style,98
65,organic vegan vegetarian,97
66,muscle strong fit,97
67,diet weightloss weightlossjourney,96
68,spiritualhealth fitness bjthompson,95
69,happy smile followme,95
70,followme style fun,95
71,business websites light,90
72,websites light family,90
73,fitness weightloss gym,88
74,webdesign business websites,86
75,weightloss gym healthyfood,85
76,usa japan cooking,84
77,fitness healthyfood diet,83
78,fitnessmotivation healthyliving bodybuilding,82
79,burnfat fitness training,80
